,cik_No1,cik_No2,count
742,1002672,1364742,1322
743,1002672,1373442,620
744,1002672,1374170,128
745,1002672,1376113,122
746,1002672,1388409,1
747,1002672,1394866,28
748,1002672,1399794,260
749,1002672,1411530,183
750,1002672,1415996,217
751,1002672,1418329,25
752,1002672,1447946,23
753,1002672,1454759,27
754,1002672,1463559,90
755,1002672,1508097,13
756,1002672,1509974,136
757,1002672,1510668,9
758,1002672,1535811,209
759,1002672,1539994,18
760,1002672,1541897,362
761,1002672,1548916,367
762,1002672,1582202,116
763,1002672,1595509,71
764,1002672,1599950,19
765,1002672,1603001,29
766,1002672,1609674,2
767,1002672,1615135,61
768,1002672,1633343,15
769,1002672,1664713,8
770,1002672,1666736,23
771,1002672,1672067,72
772,1002672,1686444,176
773,1002672,1695426,2
774,1002672,1697300,265
775,1002672,1698006,7
776,1002672,1698219,139
777,1002672,1714590,33
778,1002672,1715635,8
779,1002672,1722329,7
780,1002672,1722638,83
781,1002672,1723925,55
782,1002672,1728120,1
783,1002672,1728718,2
784,1002672,1729854,1
785,1002672,1734493,42
786,1002672,1745796,1
787,1002672,1764059,93
788,1002672,1764403,5
789,1002672,1767602,139
790,1002672,1768095,153
791,1002672,1772940,4
792,1002672,1794153,6
793,1002672,1794820,29
794,1002672,1798736,2
795,1002672,1799957,151
796,1002672,1800620,94
797,1002672,1801585,4
798,1002672,1802080,92
799,1002672,1802225,129
800,1002672,1802277,20
801,1002672,1803295,18
802,1002672,1803898,117
803,1002672,1817652,2
804,1002672,1825611,71
805,1002672,1832158,42
806,1002672,1832439,12
807,1002672,1840750,6
808,1002672,1841757,27
809,1002672,1844568,3
810,1002672,1852993,90
811,1008322,5272,345
812,1008322,16972,64
813,1008322,35527,438
814,1008322,356264,74
815,1008322,712050,86
816,1008322,713676,528
817,1008322,732905,10
818,1008322,733986,25
819,1008322,773411,241
820,1008322,775368,12
821,1008322,857508,44
822,1008322,859139,4
823,1008322,944804,27
824,1008322,1002672,13
825,1008322,1008322,2
826,1008322,1019231,2
827,1008322,1027796,8
828,1008322,1040190,51
829,1008322,1056527,89
830,1008322,1078246,30
831,1008322,1080107,284
832,1008322,1082621,5
833,1008322,1091961,20
834,1008322,1105837,29
835,1008322,1119032,17
836,1008322,1130787,54
837,1008322,1140771,34
838,1008322,1166588,332
839,1008322,1271347,13
840,1008322,1285973,24
841,1008322,1297376,228
842,1008322,1334199,2
843,1008322,1360798,144
844,1008322,1364742,595
845,1008322,1373442,255
846,1008322,1374170,283
847,1008322,1376113,155
848,1008322,1394866,54
849,1008322,1399794,106
850,1008322,1411530,202
851,1008322,1415996,206
852,1008322,1418329,73
853,1008322,1447946,22
854,1008322,1454759,20
855,1008322,1463559,130
856,1008322,1508097,16
857,1008322,1509974,56
858,1008322,1510668,12
859,1008322,1535811,86
860,1008322,1539994,47
861,1008322,1541897,183
862,1008322,1547926,2
863,1008322,1548916,113
864,1008322,1582202,300
865,1008322,1595509,31
866,1008322,1599950,44
867,1008322,1603001,33
868,1008322,1609674,6
869,1008322,1615135,27
870,1008322,1633343,39
871,1008322,1633697,1
872,1008322,1664713,10
873,1008322,1666736,25
874,1008322,1672067,33
875,1008322,1686444,72
876,1008322,1695426,2
877,1008322,1697300,119
878,1008322,1698006,8
879,1008322,1698219,70
880,1008322,1714590,22
881,1008322,1715635,20
882,1008322,1722329,16
883,1008322,1722638,32
884,1008322,1723925,24
885,1008322,1728120,3
886,1008322,1728718,4
887,1008322,1729854,1
888,1008322,1734493,31
889,1008322,1745796,2
890,1008322,1764059,47
891,1008322,1764403,3
892,1008322,1767602,40
893,1008322,1768095,69
894,1008322,1772940,6
895,1008322,1794153,7
896,1008322,1794820,36
897,1008322,1798736,8
898,1008322,1799957,28
899,1008322,1800620,36
900,1008322,1801585,1
901,1008322,1802080,28
902,1008322,1802225,38
903,1008322,1802277,12
904,1008322,1803295,17
905,1008322,1803898,55
906,1008322,1817646,1
907,1008322,1817652,2
908,1008322,1825611,39
909,1008322,1832158,20
910,1008322,1832439,4
911,1008322,1840750,6
912,1008322,1841757,14
913,1008322,1844568,5
914,1008322,1852993,38
915,1013536,914933,2
916,1013536,1091561,1
917,1013536,1105837,5
918,1013536,1547926,3
919,1013536,1713520,1
