,cik_No1,cik_No2
813,1008322,35527
814,1008322,356264
815,1008322,712050
816,1008322,713676
817,1008322,732905
818,1008322,733986
819,1008322,773411
820,1008322,775368
821,1008322,857508
822,1008322,859139
823,1008322,944804
824,1008322,1002672
825,1008322,1008322
826,1008322,1019231
827,1008322,1027796
828,1008322,1040190
829,1008322,1056527
830,1008322,1078246
831,1008322,1080107
832,1008322,1082621
833,1008322,1091961
834,1008322,1105837
835,1008322,1119032
836,1008322,1130787
837,1008322,1140771
838,1008322,1166588
839,1008322,1271347
840,1008322,1285973
841,1008322,1297376
842,1008322,1334199
843,1008322,1360798
844,1008322,1364742
845,1008322,1373442
846,1008322,1374170
847,1008322,1376113
848,1008322,1394866
849,1008322,1399794
850,1008322,1411530
851,1008322,1415996
852,1008322,1418329
853,1008322,1447946
854,1008322,1454759
855,1008322,1463559
856,1008322,1508097
857,1008322,1509974
858,1008322,1510668
859,1008322,1535811
860,1008322,1539994
861,1008322,1541897
862,1008322,1547926
863,1008322,1548916
864,1008322,1582202
865,1008322,1595509
866,1008322,1599950
867,1008322,1603001
868,1008322,1609674
869,1008322,1615135
870,1008322,1633343
871,1008322,1633697
872,1008322,1664713
873,1008322,1666736
874,1008322,1672067
875,1008322,1686444
876,1008322,1695426
877,1008322,1697300
878,1008322,1698006
879,1008322,1698219
880,1008322,1714590
881,1008322,1715635
882,1008322,1722329
883,1008322,1722638
884,1008322,1723925
885,1008322,1728120
886,1008322,1728718
887,1008322,1729854
888,1008322,1734493
889,1008322,1745796
890,1008322,1764059
891,1008322,1764403
892,1008322,1767602
893,1008322,1768095
894,1008322,1772940
895,1008322,1794153
896,1008322,1794820
897,1008322,1798736
898,1008322,1799957
899,1008322,1800620
900,1008322,1801585
901,1008322,1802080
902,1008322,1802225
903,1008322,1802277
904,1008322,1803295
905,1008322,1803898
906,1008322,1817646
907,1008322,1817652
908,1008322,1825611
909,1008322,1832158
910,1008322,1832439
911,1008322,1840750
912,1008322,1841757
913,1008322,1844568
914,1008322,1852993
915,1013536,914933
916,1013536,1091561
917,1013536,1105837
918,1013536,1547926
919,1013536,1713520
920,1013536,1858879
921,1019231,5272
922,1019231,16972
923,1019231,35527
924,1019231,356264
925,1019231,712050
926,1019231,713676
927,1019231,773411
928,1019231,857508
929,1019231,859139
930,1019231,944804
931,1019231,1040190
932,1019231,1080107
933,1019231,1082621
934,1019231,1091961
935,1019231,1119032
936,1019231,1130787
937,1019231,1166588
938,1019231,1297376
939,1019231,1360798
940,1019231,1364742
941,1019231,1373442
942,1019231,1374170
943,1019231,1376113
944,1019231,1394866
945,1019231,1399794
946,1019231,1411530
947,1019231,1415996
948,1019231,1418329
949,1019231,1454759
950,1019231,1463559
951,1019231,1508097
952,1019231,1509974
953,1019231,1510668
954,1019231,1535811
955,1019231,1539994
956,1019231,1541897
957,1019231,1548916
958,1019231,1582202
959,1019231,1595509
960,1019231,1599950
961,1019231,1603001
962,1019231,1633343
963,1019231,1664713
964,1019231,1666736
965,1019231,1686444
966,1019231,1697300
967,1019231,1698219
968,1019231,1714590
969,1019231,1722638
970,1019231,1764059
971,1019231,1767602
972,1019231,1768095
973,1019231,1772940
974,1019231,1794153
975,1019231,1794820
976,1019231,1801585
977,1019231,1802225
978,1019231,1825611
979,1019231,1832158
980,1019231,1832439
981,1019231,1852993
982,1027796,5272
983,1027796,35527
984,1027796,356264
985,1027796,713676
986,1027796,732905
987,1027796,773411
988,1027796,857508
989,1027796,1040190
990,1027796,1056527
991,1027796,1080107
992,1027796,1091961
993,1027796,1105837
994,1027796,1119032
995,1027796,1140771
996,1027796,1166588
997,1027796,1297376
998,1027796,1334199
